id,name,description,country,iata,icao,latitude,longitude,elevation
7970,Train Station,Edmonton,Canada,XZL,,53.5789,-113.5307,2208
7971,Train Station,Richmond,United States,ZRD,,37.5343,-77.42945,26
7972,Sentral,Kuala Lumpur,Malaysia,XKL,,3.134,101.686,126
7973,Train Station,Churchill,Canada,XAD,,58.76775,-94.17425,10
7974,Train Station,Winnipeg,Canada,XEF,,49.8889,-97.1342,751
7975,Kingston VIA Station,Kingston,Canada,,,44.2572,-76.53715,282
7976,Ukunda Airport,Ukunda,Kenya,UKA,HKUK,-4.29694,39.5714,0
7977,Whitehaven Beach,Whitsunday Island,Australia,,,-20.28866,149.04497,0
7978,Wilmington Airborne Airpark,Wilmington,United States,ILN,KILN,39.42792,-83.79212,1077
7979,Marana Regional,Tucson,United States,AVW,KAVQ,32.40956,-111.21839,2031
7980,Casa Grande Municipal Airport,Casa Grande,United States,CGZ,KCGZ,32.95489,-111.76683,1464
7981,Mobile,Mobile,United States,,1AZ0,33.11194,-112.26917,1261
7982,Buckeye Municipal Airport,Buckeye,United States,BXK,KBXK,33.42042,-112.68618,1033
7983,Gila Bend Municipal Airport,Gila Bend,United States,E63,KE63,32.96017,-112.67364,789
7984,McMinn Co,Athens,United States,MMI,KMMI,35.39919,-84.56177,874
7985,Sterling Municipal Airport,Sterling,United States,STK,KSTK,40.61531,-103.26485,4040
7986,Rawlins Municipal Airport-Harvey Field,Rawlins,United States,RWL,KFWL,41.8056,-107.19994,6813
7987,Mackenzie Airport,Mackenzie British Columbia,Canada,YZY,CYZY,55.29944,-123.08333,2264
7988,JALOU,Jalu,Libya,,,29.14222,21.38056,0
7989,JALOU,Jalu,Libya,,,29.14222,21.38056,0
7990,Caldwell Essex County Airport,Caldwell,United States,CDW,KCDW,40.87522,-74.28136,172
7991,Lee C Fine Memorial Airport,Kaiser Lake Ozark,United States,AIZ,KAIZ,38.09604,-92.54949,869
7992,Yuryevets,Yuryevets,Russia,,,57.3106,43.1003,269
